"Loop_ID" "CAPSULE_FILE" "DT_dist_THRESHOLD_BL" "MAX_INTERACTION_GAP" "DISAGREEMENT_THRESH" "DT_frame_THRESHOLD" "trim_length_sec" "beta" "classifier" "CSI_pre_classifier" "Fbeta_pre_classifier" "precision_pre_classifier" "sensitivity_pre_classifier" "CSI_training" "Fbeta_training" "precision_training" "sensitivity_training" "CSI_test" "Fbeta_test" "precision_test" "sensitivity_test"
14001 "CapsuleDef3" 0 35 0.5 32 0 1 "fit_RF_all" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.682 0.811 0.811 0.81 0.521 0.685 0.705 0.667
14001 "CapsuleDef3" 0 35 0.5 32 0 1 "fit_RF_sbc" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.301 0.463 0.314 0.88 0.216 0.355 0.225 0.847
14001 "CapsuleDef3" 0 35 0.5 32 0 1 "fit_RF_ros" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.682 0.811 0.811 0.81 0.518 0.683 0.665 0.701
14001 "CapsuleDef3" 0 35 0.5 32 0 1 "fit_RF_rus" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.479 0.648 0.52 0.859 0.399 0.57 0.439 0.813
14001 "CapsuleDef3" 0 35 0.5 32 0 1 "fit_RF_smote" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.682 0.811 0.811 0.81 0.489 0.657 0.578 0.76
14001 "CapsuleDef3" 0 35 0.5 32 0 1 "fit_RF_borderline_smote_type1" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.682 0.811 0.811 0.81 0.483 0.652 0.579 0.745
14001 "CapsuleDef3" 0 35 0.5 32 0 1 "fit_RF_borderline_smote_type2" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.682 0.811 0.811 0.81 0.52 0.684 0.662 0.708
14001 "CapsuleDef3" 0 35 0.5 32 0 1 "fit_SVM_all" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.587 0.74 0.749 0.731 0.469 0.639 0.63 0.648
14001 "CapsuleDef3" 0 35 0.5 32 0 1 "fit_SVM_sbc" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.286 0.445 0.298 0.879 0.2 0.334 0.208 0.842
14001 "CapsuleDef3" 0 35 0.5 32 0 1 "fit_SVM_ros" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.591 0.743 0.667 0.838 0.457 0.627 0.56 0.713
14001 "CapsuleDef3" 0 35 0.5 32 0 1 "fit_SVM_rus" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.457 0.628 0.492 0.866 0.36 0.529 0.401 0.779
14001 "CapsuleDef3" 0 35 0.5 32 0 1 "fit_SVM_smote" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.583 0.737 0.657 0.838 0.449 0.62 0.561 0.693
14001 "CapsuleDef3" 0 35 0.5 32 0 1 "fit_SVM_borderline_smote_type1" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.591 0.743 0.672 0.83 0.461 0.631 0.566 0.712
14001 "CapsuleDef3" 0 35 0.5 32 0 1 "fit_SVM_borderline_smote_type2" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.597 0.748 0.692 0.813 0.463 0.633 0.592 0.681
14002 "CapsuleDef3" 0 35 0.5 32 3 1 "fit_RF_all" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.679 0.809 0.81 0.808 0.503 0.67 0.698 0.643
14002 "CapsuleDef3" 0 35 0.5 32 3 1 "fit_RF_sbc" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.458 0.628 0.494 0.863 0.352 0.521 0.387 0.796
14002 "CapsuleDef3" 0 35 0.5 32 3 1 "fit_RF_ros" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.68 0.809 0.811 0.808 0.533 0.695 0.674 0.718
14002 "CapsuleDef3" 0 35 0.5 32 3 1 "fit_RF_rus" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.557 0.716 0.621 0.845 0.471 0.641 0.54 0.788
14002 "CapsuleDef3" 0 35 0.5 32 3 1 "fit_RF_smote" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.68 0.809 0.81 0.808 0.529 0.692 0.634 0.761
