"Loop_ID" "CAPSULE_FILE" "DT_dist_THRESHOLD_BL" "MAX_INTERACTION_GAP" "DISAGREEMENT_THRESH" "DT_frame_THRESHOLD" "trim_length_sec" "beta" "classifier" "CSI_pre_classifier" "Fbeta_pre_classifier" "precision_pre_classifier" "sensitivity_pre_classifier" "CSI_training" "Fbeta_training" "precision_training" "sensitivity_training" "CSI_test" "Fbeta_test" "precision_test" "sensitivity_test"
13001 "CapsuleDef3" 0.003 30 0.5 32 0 1 "fit_RF_all" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.686 0.813 0.818 0.809 0.486 0.654 0.683 0.628
13001 "CapsuleDef3" 0.003 30 0.5 32 0 1 "fit_RF_sbc" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.312 0.475 0.327 0.867 0.21 0.346 0.22 0.818
13001 "CapsuleDef3" 0.003 30 0.5 32 0 1 "fit_RF_ros" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.686 0.813 0.818 0.809 0.483 0.651 0.623 0.681
13001 "CapsuleDef3" 0.003 30 0.5 32 0 1 "fit_RF_rus" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.498 0.665 0.545 0.852 0.387 0.558 0.431 0.794
13001 "CapsuleDef3" 0.003 30 0.5 32 0 1 "fit_RF_smote" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.686 0.813 0.818 0.809 0.456 0.626 0.541 0.743
13001 "CapsuleDef3" 0.003 30 0.5 32 0 1 "fit_RF_borderline_smote_type1" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.686 0.813 0.818 0.809 0.463 0.633 0.554 0.739
13001 "CapsuleDef3" 0.003 30 0.5 32 0 1 "fit_RF_borderline_smote_type2" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.686 0.813 0.818 0.809 0.485 0.654 0.621 0.69
13001 "CapsuleDef3" 0.003 30 0.5 32 0 1 "fit_SVM_all" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.584 0.737 0.743 0.732 0.484 0.653 0.646 0.66
13001 "CapsuleDef3" 0.003 30 0.5 32 0 1 "fit_SVM_sbc" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.323 0.489 0.34 0.867 0.229 0.373 0.242 0.814
13001 "CapsuleDef3" 0.003 30 0.5 32 0 1 "fit_SVM_ros" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.572 0.728 0.645 0.835 0.446 0.617 0.54 0.72
13001 "CapsuleDef3" 0.003 30 0.5 32 0 1 "fit_SVM_rus" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.464 0.634 0.504 0.852 0.367 0.537 0.407 0.792
13001 "CapsuleDef3" 0.003 30 0.5 32 0 1 "fit_SVM_smote" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.574 0.729 0.649 0.833 0.437 0.608 0.519 0.734
13001 "CapsuleDef3" 0.003 30 0.5 32 0 1 "fit_SVM_borderline_smote_type1" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.571 0.727 0.646 0.831 0.44 0.611 0.528 0.725
13001 "CapsuleDef3" 0.003 30 0.5 32 0 1 "fit_SVM_borderline_smote_type2" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.582 0.736 0.672 0.813 0.446 0.617 0.563 0.682
13002 "CapsuleDef3" 0.003 30 0.5 32 3 1 "fit_RF_all" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.676 0.807 0.816 0.798 0.491 0.658 0.705 0.618
13002 "CapsuleDef3" 0.003 30 0.5 32 3 1 "fit_RF_sbc" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.456 0.627 0.496 0.849 0.373 0.544 0.412 0.798
