"Loop_ID" "CAPSULE_FILE" "DT_dist_THRESHOLD_BL" "MAX_INTERACTION_GAP" "DISAGREEMENT_THRESH" "DT_frame_THRESHOLD" "trim_length_sec" "beta" "classifier" "CSI_pre_classifier" "Fbeta_pre_classifier" "precision_pre_classifier" "sensitivity_pre_classifier" "CSI_training" "Fbeta_training" "precision_training" "sensitivity_training" "CSI_test" "Fbeta_test" "precision_test" "sensitivity_test"
17001 "CapsuleDef3" 0.0015 35 0.5 32 0 1 "fit_RF_all" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.682 0.811 0.811 0.81 0.479 0.648 0.677 0.621
17001 "CapsuleDef3" 0.0015 35 0.5 32 0 1 "fit_RF_sbc" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.269 0.423 0.279 0.882 0.187 0.316 0.194 0.846
17001 "CapsuleDef3" 0.0015 35 0.5 32 0 1 "fit_RF_ros" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.682 0.811 0.811 0.81 0.504 0.671 0.65 0.693
17001 "CapsuleDef3" 0.0015 35 0.5 32 0 1 "fit_RF_rus" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.468 0.637 0.503 0.871 0.395 0.566 0.431 0.824
17001 "CapsuleDef3" 0.0015 35 0.5 32 0 1 "fit_RF_smote" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.682 0.811 0.811 0.81 0.474 0.643 0.554 0.766
17001 "CapsuleDef3" 0.0015 35 0.5 32 0 1 "fit_RF_borderline_smote_type1" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.682 0.811 0.811 0.81 0.472 0.642 0.563 0.746
17001 "CapsuleDef3" 0.0015 35 0.5 32 0 1 "fit_RF_borderline_smote_type2" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.682 0.811 0.811 0.81 0.507 0.673 0.622 0.732
17001 "CapsuleDef3" 0.0015 35 0.5 32 0 1 "fit_SVM_all" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.592 0.744 0.742 0.746 0.461 0.631 0.632 0.63
17001 "CapsuleDef3" 0.0015 35 0.5 32 0 1 "fit_SVM_sbc" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.28 0.437 0.291 0.883 0.193 0.324 0.201 0.842
17001 "CapsuleDef3" 0.0015 35 0.5 32 0 1 "fit_SVM_ros" 0.227360540495591 0.370486964496652 0.234670255787021 0.879505827505828 0.599 0.749 0.674 0.843 0.46 0.63 0.563 0.716
