"Loop_ID" "CAPSULE_FILE" "DT_dist_THRESHOLD_BL" "MAX_INTERACTION_GAP" "DISAGREEMENT_THRESH" "DT_frame_THRESHOLD" "trim_length_sec" "beta" "classifier" "CSI_pre_classifier" "Fbeta_pre_classifier" "precision_pre_classifier" "sensitivity_pre_classifier" "CSI_training" "Fbeta_training" "precision_training" "sensitivity_training" "CSI_test" "Fbeta_test" "precision_test" "sensitivity_test"
5001 "CapsuleDef3" 0.0025 25 0.5 32 0 1 "fit_RF_all" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.694 0.819 0.831 0.808 0.483 0.652 0.693 0.615
5001 "CapsuleDef3" 0.0025 25 0.5 32 0 1 "fit_RF_sbc" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.314 0.478 0.332 0.856 0.206 0.341 0.218 0.778
5001 "CapsuleDef3" 0.0025 25 0.5 32 0 1 "fit_RF_ros" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.694 0.819 0.831 0.808 0.476 0.645 0.648 0.641
5001 "CapsuleDef3" 0.0025 25 0.5 32 0 1 "fit_RF_rus" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.495 0.662 0.543 0.846 0.381 0.552 0.433 0.762
5001 "CapsuleDef3" 0.0025 25 0.5 32 0 1 "fit_RF_smote" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.694 0.819 0.831 0.808 0.474 0.643 0.577 0.725
5001 "CapsuleDef3" 0.0025 25 0.5 32 0 1 "fit_RF_borderline_smote_type1" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.694 0.819 0.831 0.808 0.476 0.645 0.59 0.711
5001 "CapsuleDef3" 0.0025 25 0.5 32 0 1 "fit_RF_borderline_smote_type2" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.694 0.819 0.831 0.808 0.494 0.661 0.65 0.673
5001 "CapsuleDef3" 0.0025 25 0.5 32 0 1 "fit_SVM_all" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.618 0.764 0.759 0.769 0.444 0.615 0.616 0.615
5001 "CapsuleDef3" 0.0025 25 0.5 32 0 1 "fit_SVM_sbc" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.312 0.475 0.329 0.855 0.201 0.335 0.213 0.776
5001 "CapsuleDef3" 0.0025 25 0.5 32 0 1 "fit_SVM_ros" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.626 0.77 0.721 0.827 0.404 0.576 0.526 0.636
5001 "CapsuleDef3" 0.0025 25 0.5 32 0 1 "fit_SVM_rus" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.436 0.608 0.474 0.844 0.287 0.446 0.323 0.718
5001 "CapsuleDef3" 0.0025 25 0.5 32 0 1 "fit_SVM_smote" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.618 0.764 0.714 0.822 0.405 0.576 0.515 0.654
5001 "CapsuleDef3" 0.0025 25 0.5 32 0 1 "fit_SVM_borderline_smote_type1" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.627 0.77 0.724 0.823 0.418 0.589 0.55 0.634
5001 "CapsuleDef3" 0.0025 25 0.5 32 0 1 "fit_SVM_borderline_smote_type2" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.631 0.773 0.74 0.809 0.431 0.602 0.571 0.637
5002 "CapsuleDef3" 0.0025 25 0.5 32 3 1 "fit_RF_all" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.683 0.812 0.829 0.796 0.464 0.634 0.699 0.581
5002 "CapsuleDef3" 0.0025 25 0.5 32 3 1 "fit_RF_sbc" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.518 0.682 0.576 0.835 0.4 0.571 0.466 0.737
5002 "CapsuleDef3" 0.0025 25 0.5 32 3 1 "fit_RF_ros" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.684 0.812 0.829 0.796 0.481 0.65 0.677 0.625
5002 "CapsuleDef3" 0.0025 25 0.5 32 3 1 "fit_RF_rus" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.588 0.741 0.667 0.833 0.464 0.634 0.564 0.724
5002 "CapsuleDef3" 0.0025 25 0.5 32 3 1 "fit_RF_smote" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.683 0.812 0.828 0.796 0.467 0.636 0.623 0.65
5002 "CapsuleDef3" 0.0025 25 0.5 32 3 1 "fit_RF_borderline_smote_type1" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.683 0.812 0.828 0.796 0.465 0.634 0.622 0.647
5002 "CapsuleDef3" 0.0025 25 0.5 32 3 1 "fit_RF_borderline_smote_type2" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.683 0.812 0.829 0.796 0.476 0.645 0.677 0.616
5002 "CapsuleDef3" 0.0025 25 0.5 32 3 1 "fit_SVM_all" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.553 0.712 0.737 0.689 0.433 0.604 0.61 0.597
5002 "CapsuleDef3" 0.0025 25 0.5 32 3 1 "fit_SVM_sbc" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.464 0.634 0.519 0.814 0.318 0.483 0.365 0.711
5002 "CapsuleDef3" 0.0025 25 0.5 32 3 1 "fit_SVM_ros" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.553 0.712 0.665 0.767 0.441 0.612 0.561 0.673
5002 "CapsuleDef3" 0.0025 25 0.5 32 3 1 "fit_SVM_rus" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.529 0.692 0.618 0.785 0.389 0.56 0.481 0.67
5002 "CapsuleDef3" 0.0025 25 0.5 32 3 1 "fit_SVM_smote" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.546 0.707 0.679 0.737 0.459 0.629 0.592 0.672
5002 "CapsuleDef3" 0.0025 25 0.5 32 3 1 "fit_SVM_borderline_smote_type1" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.54 0.702 0.668 0.739 0.441 0.612 0.566 0.668
5002 "CapsuleDef3" 0.0025 25 0.5 32 3 1 "fit_SVM_borderline_smote_type2" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.578 0.732 0.716 0.749 0.43 0.602 0.57 0.637
5003 "CapsuleDef3" 0.0025 25 0.5 32 4 1 "fit_RF_all" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.682 0.811 0.829 0.794 0.461 0.632 0.691 0.582
5003 "CapsuleDef3" 0.0025 25 0.5 32 4 1 "fit_RF_sbc" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.523 0.687 0.582 0.839 0.406 0.577 0.475 0.736
5003 "CapsuleDef3" 0.0025 25 0.5 32 4 1 "fit_RF_ros" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.679 0.809 0.829 0.789 0.478 0.647 0.687 0.611
5003 "CapsuleDef3" 0.0025 25 0.5 32 4 1 "fit_RF_rus" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.593 0.744 0.678 0.825 0.46 0.63 0.557 0.724
5003 "CapsuleDef3" 0.0025 25 0.5 32 4 1 "fit_RF_smote" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.681 0.81 0.828 0.794 0.477 0.646 0.63 0.663
