"Loop_ID" "CAPSULE_FILE" "DT_dist_THRESHOLD_BL" "MAX_INTERACTION_GAP" "DISAGREEMENT_THRESH" "DT_frame_THRESHOLD" "trim_length_sec" "beta" "classifier" "CSI_pre_classifier" "Fbeta_pre_classifier" "precision_pre_classifier" "sensitivity_pre_classifier" "CSI_training" "Fbeta_training" "precision_training" "sensitivity_training" "CSI_test" "Fbeta_test" "precision_test" "sensitivity_test"
31001 "CapsuleDef4" 0.0015 30 0.5 32 0 1 "fit_RF_all" 0.175263279199262 0.298253646312634 0.178312630816367 0.911100233100233 0.678 0.808 0.79 0.827 0.504 0.67 0.668 0.672
31001 "CapsuleDef4" 0.0015 30 0.5 32 0 1 "fit_RF_sbc" 0.175263279199262 0.298253646312634 0.178312630816367 0.911100233100233 0.22 0.36 0.224 0.915 0.146 0.254 0.149 0.875
31001 "CapsuleDef4" 0.0015 30 0.5 32 0 1 "fit_RF_ros" 0.175263279199262 0.298253646312634 0.178312630816367 0.911100233100233 0.678 0.808 0.79 0.827 0.454 0.625 0.607 0.644
31001 "CapsuleDef4" 0.0015 30 0.5 32 0 1 "fit_RF_rus" 0.175263279199262 0.298253646312634 0.178312630816367 0.911100233100233 0.423 0.594 0.445 0.895 0.343 0.511 0.366 0.842
31001 "CapsuleDef4" 0.0015 30 0.5 32 0 1 "fit_RF_smote" 0.175263279199262 0.298253646312634 0.178312630816367 0.911100233100233 0.678 0.808 0.79 0.827 0.424 0.595 0.489 0.761
31001 "CapsuleDef4" 0.0015 30 0.5 32 0 1 "fit_RF_borderline_smote_type1" 0.175263279199262 0.298253646312634 0.178312630816367 0.911100233100233 0.678 0.808 0.79 0.827 0.437 0.609 0.512 0.75
31001 "CapsuleDef4" 0.0015 30 0.5 32 0 1 "fit_RF_borderline_smote_type2" 0.175263279199262 0.298253646312634 0.178312630816367 0.911100233100233 0.678 0.808 0.79 0.827 0.469 0.639 0.574 0.72
31001 "CapsuleDef4" 0.0015 30 0.5 32 0 1 "fit_SVM_all" 0.175263279199262 0.298253646312634 0.178312630816367 0.911100233100233 0.59 0.742 0.71 0.778 0.476 0.645 0.644 0.645
31001 "CapsuleDef4" 0.0015 30 0.5 32 0 1 "fit_SVM_sbc" 0.175263279199262 0.298253646312634 0.178312630816367 0.911100233100233 0.216 0.355 0.22 0.918 0.142 0.249 0.145 0.872
31001 "CapsuleDef4" 0.0015 30 0.5 32 0 1 "fit_SVM_ros" 0.175263279199262 0.298253646312634 0.178312630816367 0.911100233100233 0.579 0.734 0.637 0.864 0.436 0.607 0.525 0.72
31001 "CapsuleDef4" 0.0015 30 0.5 32 0 1 "fit_SVM_rus" 0.175263279199262 0.298253646312634 0.178312630816367 0.911100233100233 0.365 0.534 0.38 0.899 0.273 0.429 0.291 0.819
31001 "CapsuleDef4" 0.0015 30 0.5 32 0 1 "fit_SVM_smote" 0.175263279199262 0.298253646312634 0.178312630816367 0.911100233100233 0.571 0.727 0.626 0.865 0.437 0.608 0.517 0.738
31001 "CapsuleDef4" 0.0015 30 0.5 32 0 1 "fit_SVM_borderline_smote_type1" 0.175263279199262 0.298253646312634 0.178312630816367 0.911100233100233 0.586 0.739 0.662 0.835 0.43 0.601 0.531 0.692
31001 "CapsuleDef4" 0.0015 30 0.5 32 0 1 "fit_SVM_borderline_smote_type2" 0.175263279199262 0.298253646312634 0.178312630816367 0.911100233100233 0.594 0.745 0.675 0.832 0.43 0.601 0.539 0.68
31002 "CapsuleDef4" 0.0015 30 0.5 32 3 1 "fit_RF_all" 0.175263279199262 0.298253646312634 0.178312630816367 0.911100233100233 0.669 0.802 0.79 0.814 0.488 0.656 0.694 0.622
31002 "CapsuleDef4" 0.0015 30 0.5 32 3 1 "fit_RF_sbc" 0.175263279199262 0.298253646312634 0.178312630816367 0.911100233100233 0.435 0.606 0.46 0.887 0.355 0.524 0.38 0.845
31002 "CapsuleDef4" 0.0015 30 0.5 32 3 1 "fit_RF_ros" 0.175263279199262 0.298253646312634 0.178312630816367 0.911100233100233 0.656 0.793 0.791 0.794 0.499 0.666 0.655 0.678
31002 "CapsuleDef4" 0.0015 30 0.5 32 3 1 "fit_RF_rus" 0.175263279199262 0.298253646312634 0.178312630816367 0.911100233100233 0.497 0.664 0.532 0.884 0.437 0.608 0.483 0.822
31002 "CapsuleDef4" 0.0015 30 0.5 32 3 1 "fit_RF_smote" 0.175263279199262 0.298253646312634 0.178312630816367 0.911100233100233 0.673 0.805 0.788 0.823 0.491 0.659 0.587 0.75
31002 "CapsuleDef4" 0.0015 30 0.5 32 3 1 "fit_RF_borderline_smote_type1" 0.175263279199262 0.298253646312634 0.178312630816367 0.911100233100233 0.673 0.805 0.788 0.822 0.481 0.65 0.589 0.725
31002 "CapsuleDef4" 0.0015 30 0.5 32 3 1 "fit_RF_borderline_smote_type2" 0.175263279199262 0.298253646312634 0.178312630816367 0.911100233100233 0.673 0.804 0.789 0.82 0.522 0.686 0.663 0.71
31002 "CapsuleDef4" 0.0015 30 0.5 32 3 1 "fit_SVM_all" 0.175263279199262 0.298253646312634 0.178312630816367 0.911100233100233 0.535 0.697 0.727 0.669 0.506 0.672 0.693 0.652
31002 "CapsuleDef4" 0.0015 30 0.5 32 3 1 "fit_SVM_sbc" 0.175263279199262 0.298253646312634 0.178312630816367 0.911100233100233 0.41 0.582 0.434 0.884 0.299 0.461 0.32 0.82
31002 "CapsuleDef4" 0.0015 30 0.5 32 3 1 "fit_SVM_ros" 0.175263279199262 0.298253646312634 0.178312630816367 0.911100233100233 0.5 0.667 0.58 0.785 0.433 0.605 0.515 0.731
31002 "CapsuleDef4" 0.0015 30 0.5 32 3 1 "fit_SVM_rus" 0.175263279199262 0.298253646312634 0.178312630816367 0.911100233100233 0.432 0.603 0.472 0.834 0.337 0.504 0.377 0.759
31002 "CapsuleDef4" 0.0015 30 0.5 32 3 1 "fit_SVM_smote" 0.175263279199262 0.298253646312634 0.178312630816367 0.911100233100233 0.507 0.673 0.597 0.771 0.445 0.616 0.541 0.716
