"Loop_ID" "CAPSULE_FILE" "DT_dist_THRESHOLD_BL" "MAX_INTERACTION_GAP" "DISAGREEMENT_THRESH" "DT_frame_THRESHOLD" "trim_length_sec" "beta" "classifier" "CSI_pre_classifier" "Fbeta_pre_classifier" "precision_pre_classifier" "sensitivity_pre_classifier" "CSI_training" "Fbeta_training" "precision_training" "sensitivity_training" "CSI_test" "Fbeta_test" "precision_test" "sensitivity_test"
3001 "CapsuleDef3" 0.0015 25 0.5 32 0 1 "fit_RF_all" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.694 0.819 0.831 0.808 0.453 0.623 0.663 0.588
3001 "CapsuleDef3" 0.0015 25 0.5 32 0 1 "fit_RF_sbc" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.294 0.454 0.309 0.856 0.196 0.328 0.207 0.781
3001 "CapsuleDef3" 0.0015 25 0.5 32 0 1 "fit_RF_ros" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.694 0.819 0.831 0.808 0.5 0.667 0.665 0.668
3001 "CapsuleDef3" 0.0015 25 0.5 32 0 1 "fit_RF_rus" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.502 0.669 0.554 0.844 0.394 0.565 0.448 0.767
3001 "CapsuleDef3" 0.0015 25 0.5 32 0 1 "fit_RF_smote" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.694 0.819 0.831 0.808 0.454 0.625 0.553 0.717
3001 "CapsuleDef3" 0.0015 25 0.5 32 0 1 "fit_RF_borderline_smote_type1" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.694 0.819 0.831 0.808 0.465 0.635 0.573 0.712
3001 "CapsuleDef3" 0.0015 25 0.5 32 0 1 "fit_RF_borderline_smote_type2" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.694 0.819 0.831 0.808 0.489 0.657 0.623 0.695
3001 "CapsuleDef3" 0.0015 25 0.5 32 0 1 "fit_SVM_all" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.614 0.761 0.77 0.752 0.45 0.62 0.653 0.591
3001 "CapsuleDef3" 0.0015 25 0.5 32 0 1 "fit_SVM_sbc" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.298 0.459 0.314 0.856 0.195 0.327 0.207 0.775
3001 "CapsuleDef3" 0.0015 25 0.5 32 0 1 "fit_SVM_ros" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.619 0.764 0.709 0.829 0.416 0.588 0.528 0.662
3001 "CapsuleDef3" 0.0015 25 0.5 32 0 1 "fit_SVM_rus" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.466 0.635 0.508 0.848 0.331 0.498 0.38 0.722
3001 "CapsuleDef3" 0.0015 25 0.5 32 0 1 "fit_SVM_smote" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.614 0.761 0.707 0.824 0.425 0.596 0.541 0.664
3001 "CapsuleDef3" 0.0015 25 0.5 32 0 1 "fit_SVM_borderline_smote_type1" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.615 0.762 0.711 0.819 0.425 0.597 0.557 0.643
3001 "CapsuleDef3" 0.0015 25 0.5 32 0 1 "fit_SVM_borderline_smote_type2" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.627 0.771 0.745 0.797 0.441 0.612 0.587 0.64
3002 "CapsuleDef3" 0.0015 25 0.5 32 3 1 "fit_RF_all" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.686 0.814 0.83 0.799 0.465 0.635 0.685 0.591
3002 "CapsuleDef3" 0.0015 25 0.5 32 3 1 "fit_RF_sbc" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.546 0.706 0.61 0.839 0.44 0.611 0.516 0.747
3002 "CapsuleDef3" 0.0015 25 0.5 32 3 1 "fit_RF_ros" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.683 0.812 0.83 0.794 0.479 0.648 0.673 0.625
3002 "CapsuleDef3" 0.0015 25 0.5 32 3 1 "fit_RF_rus" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.578 0.733 0.661 0.822 0.472 0.642 0.572 0.73
3002 "CapsuleDef3" 0.0015 25 0.5 32 3 1 "fit_RF_smote" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.688 0.815 0.83 0.802 0.479 0.648 0.611 0.69
3002 "CapsuleDef3" 0.0015 25 0.5 32 3 1 "fit_RF_borderline_smote_type1" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.68 0.81 0.828 0.792 0.494 0.661 0.646 0.677
3002 "CapsuleDef3" 0.0015 25 0.5 32 3 1 "fit_RF_borderline_smote_type2" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.689 0.816 0.83 0.802 0.482 0.651 0.663 0.638
3002 "CapsuleDef3" 0.0015 25 0.5 32 3 1 "fit_SVM_all" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.583 0.736 0.762 0.712 0.496 0.663 0.728 0.609
3002 "CapsuleDef3" 0.0015 25 0.5 32 3 1 "fit_SVM_sbc" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.483 0.651 0.543 0.813 0.398 0.57 0.468 0.728
3002 "CapsuleDef3" 0.0015 25 0.5 32 3 1 "fit_SVM_ros" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.579 0.734 0.697 0.775 0.447 0.618 0.577 0.665
3002 "CapsuleDef3" 0.0015 25 0.5 32 3 1 "fit_SVM_rus" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.534 0.696 0.616 0.801 0.423 0.594 0.523 0.688
3002 "CapsuleDef3" 0.0015 25 0.5 32 3 1 "fit_SVM_smote" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.574 0.729 0.708 0.751 0.474 0.643 0.619 0.67
3002 "CapsuleDef3" 0.0015 25 0.5 32 3 1 "fit_SVM_borderline_smote_type1" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.549 0.709 0.689 0.731 0.469 0.638 0.608 0.672
3002 "CapsuleDef3" 0.0015 25 0.5 32 3 1 "fit_SVM_borderline_smote_type2" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.569 0.725 0.727 0.724 0.487 0.655 0.659 0.651
3003 "CapsuleDef3" 0.0015 25 0.5 32 4 1 "fit_RF_all" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.686 0.814 0.83 0.799 0.493 0.66 0.704 0.622
3003 "CapsuleDef3" 0.0015 25 0.5 32 4 1 "fit_RF_sbc" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.538 0.699 0.603 0.833 0.441 0.612 0.52 0.743
3003 "CapsuleDef3" 0.0015 25 0.5 32 4 1 "fit_RF_ros" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.685 0.813 0.83 0.797 0.511 0.676 0.705 0.649
3003 "CapsuleDef3" 0.0015 25 0.5 32 4 1 "fit_RF_rus" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.594 0.746 0.678 0.828 0.488 0.656 0.592 0.735
