"Loop_ID" "CAPSULE_FILE" "DT_dist_THRESHOLD_BL" "MAX_INTERACTION_GAP" "DISAGREEMENT_THRESH" "DT_frame_THRESHOLD" "trim_length_sec" "beta" "classifier" "CSI_pre_classifier" "Fbeta_pre_classifier" "precision_pre_classifier" "sensitivity_pre_classifier" "CSI_training" "Fbeta_training" "precision_training" "sensitivity_training" "CSI_test" "Fbeta_test" "precision_test" "sensitivity_test"
2001 "CapsuleDef3" 0.001 25 0.5 32 0 1 "fit_RF_all" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.694 0.819 0.831 0.808 0.475 0.644 0.685 0.608
2001 "CapsuleDef3" 0.001 25 0.5 32 0 1 "fit_RF_sbc" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.362 0.532 0.386 0.853 0.27 0.425 0.292 0.782
2001 "CapsuleDef3" 0.001 25 0.5 32 0 1 "fit_RF_ros" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.694 0.819 0.831 0.808 0.495 0.662 0.66 0.665
2001 "CapsuleDef3" 0.001 25 0.5 32 0 1 "fit_RF_rus" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.539 0.701 0.602 0.838 0.439 0.61 0.511 0.758
2001 "CapsuleDef3" 0.001 25 0.5 32 0 1 "fit_RF_smote" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.694 0.819 0.831 0.808 0.484 0.653 0.604 0.709
2001 "CapsuleDef3" 0.001 25 0.5 32 0 1 "fit_RF_borderline_smote_type1" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.694 0.819 0.831 0.808 0.478 0.647 0.596 0.708
2001 "CapsuleDef3" 0.001 25 0.5 32 0 1 "fit_RF_borderline_smote_type2" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.694 0.819 0.831 0.808 0.502 0.669 0.664 0.673
2001 "CapsuleDef3" 0.001 25 0.5 32 0 1 "fit_SVM_all" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.625 0.769 0.768 0.77 0.47 0.639 0.65 0.628
2001 "CapsuleDef3" 0.001 25 0.5 32 0 1 "fit_SVM_sbc" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.324 0.489 0.343 0.856 0.217 0.357 0.232 0.777
2001 "CapsuleDef3" 0.001 25 0.5 32 0 1 "fit_SVM_ros" 0.240173628452114 0.387322586034795 0.251421039166175 0.842983682983683 0.634 0.776 0.729 0.829 0.468 0.637 0.604 0.675
