"Loop_ID" "CAPSULE_FILE" "DT_dist_THRESHOLD_BL" "MAX_INTERACTION_GAP" "DISAGREEMENT_THRESH" "DT_frame_THRESHOLD" "trim_length_sec" "beta" "classifier" "CSI_pre_classifier" "Fbeta_pre_classifier" "precision_pre_classifier" "sensitivity_pre_classifier" "CSI_training" "Fbeta_training" "precision_training" "sensitivity_training" "CSI_test" "Fbeta_test" "precision_test" "sensitivity_test"
12001 "CapsuleDef3" 0.0025 30 0.5 32 0 1 "fit_RF_all" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.686 0.814 0.818 0.81 0.494 0.661 0.691 0.634
12001 "CapsuleDef3" 0.0025 30 0.5 32 0 1 "fit_RF_sbc" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.284 0.443 0.297 0.865 0.196 0.327 0.205 0.819
12001 "CapsuleDef3" 0.0025 30 0.5 32 0 1 "fit_RF_ros" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.686 0.814 0.818 0.81 0.486 0.654 0.658 0.65
12001 "CapsuleDef3" 0.0025 30 0.5 32 0 1 "fit_RF_rus" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.476 0.645 0.519 0.853 0.378 0.549 0.419 0.798
12001 "CapsuleDef3" 0.0025 30 0.5 32 0 1 "fit_RF_smote" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.686 0.814 0.818 0.81 0.481 0.649 0.575 0.746
12001 "CapsuleDef3" 0.0025 30 0.5 32 0 1 "fit_RF_borderline_smote_type1" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.686 0.814 0.818 0.81 0.492 0.659 0.596 0.738
12001 "CapsuleDef3" 0.0025 30 0.5 32 0 1 "fit_RF_borderline_smote_type2" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.686 0.814 0.818 0.81 0.498 0.665 0.651 0.68
12001 "CapsuleDef3" 0.0025 30 0.5 32 0 1 "fit_SVM_all" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.61 0.758 0.748 0.768 0.482 0.651 0.642 0.66
12001 "CapsuleDef3" 0.0025 30 0.5 32 0 1 "fit_SVM_sbc" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.287 0.446 0.3 0.864 0.194 0.325 0.203 0.812
12001 "CapsuleDef3" 0.0025 30 0.5 32 0 1 "fit_SVM_ros" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.62 0.766 0.709 0.832 0.438 0.609 0.555 0.674
12001 "CapsuleDef3" 0.0025 30 0.5 32 0 1 "fit_SVM_rus" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.453 0.623 0.491 0.853 0.334 0.501 0.371 0.771
12001 "CapsuleDef3" 0.0025 30 0.5 32 0 1 "fit_SVM_smote" 0.232507267505963 0.377291515654026 0.241636208632839 0.860223776223776 0.614 0.761 0.703 0.828 0.428 0.6 0.539 0.676
