"Code","Sample_Plate","Sample_Well","Treatment","Ant_status","DEF","EF1","HYM","N_reads_obtained"
"59-F9","7","F9","control.big","untreated forager",1,1,0,2
"59-G11","7","G11","control.big","untreated nurse",1,1,0,2
"59-G2","7","G2","control.big","untreated forager",0,1,1,2
"59-G8","7","G8","control.big","untreated forager",1,1,0,2
"59-G9","7","G9","control.big","untreated nurse",0,1,1,2
"59-H10","7","H10","control.big","untreated nurse",1,1,0,2
"59-H11","7","H11","control.big","untreated forager",0,1,1,2
"59-H8","7","H8","control.big","untreated forager",1,1,1,3
"60-A1","8","A8","control.big","untreated forager",0,1,1,2
"60-B1","8","B8","control.big","untreated nurse",1,1,0,2
"60-C1","8","C8","control.big","untreated forager",1,1,0,2
"60-E1","8","E8","control.big","untreated forager",1,1,0,2
"60-F1","8","F8","control.big","untreated nurse",1,1,0,2
"60-G1","8","G8","control.big","untreated nurse",1,1,0,2
