"Code","Sample_Plate","Sample_Well","Treatment","Ant_status","DEF","EF1","HYM","N_reads_obtained"
"2-D2","2","D2","control.big","untreated nurse",0,1,1,2
"2-D4","2","D4","control.big","untreated nurse",1,1,1,3
"2-D5","2","D5","control.big","untreated nurse",1,1,0,2
"2-E3","2","E3","control.big","untreated forager",1,1,1,3
"2-E4","2","E4","control.big","treated nurse",1,1,1,3
"2-E5","2","E5","control.big","treated nurse",1,1,1,3
"2-E6","2","E6","control.big","untreated nurse",1,1,0,2
"2-F1","2","F1","control.big","untreated nurse",1,1,1,3
"2-F4","2","F4","control.big","untreated nurse",1,1,1,3
"2-G4","2","G4","control.big","untreated nurse",1,1,1,3
"2-G5","2","G5","control.big","untreated nurse",1,1,0,2
"2-G6","2","G6","control.big","untreated nurse",0,1,1,2
"2-H2","2","H2","control.big","untreated nurse",0,1,1,2
"2-H4","2","H4","control.big","untreated nurse",1,1,1,3
"2-H5","2","H5","control.big","untreated nurse",1,1,1,3
"2-H6","2","H6","control.big","untreated nurse",0,1,1,2
"20-A1","2","A8","control.small","untreated forager",1,1,0,2
"20-A2","2","A9","control.small","untreated forager",0,1,1,2
"20-A3","2","A10","control.small","untreated forager",0,1,1,2
"20-A4","2","A11","control.small","untreated forager",0,1,1,2
"20-B2","2","B9","control.small","untreated forager",1,1,1,3
"20-B3","2","B10","control.small","untreated nurse",0,1,1,2
"20-C2","2","C9","control.small","untreated forager",0,1,1,2
"20-C3","2","C10","control.small","untreated nurse",0,1,1,2
"20-D4","2","D11","control.small","untreated forager",1,1,1,3
"20-E2","2","E9","control.small","treated nurse",1,1,1,3
"20-F2","2","F9","control.small","untreated forager",0,1,1,2
"20-F4","2","F11","control.small","untreated forager",1,1,1,3
"20-G2","2","G9","control.small","untreated forager",0,1,1,2
"20-H2","2","H9","control.small","untreated forager",0,1,1,2
"20-H3","2","H10","control.small","treated nurse",0,1,1,2
"26-A11","10","A6","control.big","untreated forager",1,1,0,2
"26-A8","10","A3","control.big","untreated forager",0,1,1,2
"26-C11","10","C6","control.big","untreated forager",0,1,1,2
"26-C5","10","C11","control.big","untreated forager",1,1,0,2
"26-D9","10","D4","control.big","untreated nurse",1,1,1,3
"26-F10","10","F5","control.big","treated nurse",1,1,1,3
"26-F11","10","F6","control.big","untreated forager",0,1,1,2
"26-F5","10","F11","control.big","untreated forager",0,1,1,2
"26-F7","10","F2","control.big","untreated forager",0,1,1,2
"26-G11","10","G6","control.big","untreated forager",1,1,0,2
"26-G6","10","G1","control.big","untreated forager",0,1,1,2
"26-H11","10","H6","control.big","untreated nurse",1,1,0,2
"26-H12","10","H7","control.big","untreated forager",1,1,0,2
"26-H9","10","H4","control.big","untreated forager",1,1,0,2
"27-A1","9","A1","control.big","untreated forager",0,1,1,2
"27-A11","9","A11","control.big","untreated forager",1,1,1,3
"27-A2","9","A2","control.big","untreated nurse",0,1,1,2
"27-A5","9","A5","control.big","untreated forager",0,1,1,2
"27-A7","9","A7","control.big","untreated forager",1,1,0,2
"27-A9","9","A9","control.big","untreated forager",0,1,1,2
"27-B1","9","B1","control.big","treated nurse",1,1,1,3
"27-B2","9","B2","control.big","untreated forager",0,1,1,2
"27-B6","9","B6","control.big","untreated forager",0,1,1,2
"27-B7","9","B7","control.big","untreated forager",0,1,1,2
"27-C1","9","C1","control.big","untreated nurse",1,1,0,2
"27-C12","9","C12","control.big","untreated nurse",1,1,0,2
"27-C2","9","C2","control.big","treated nurse",0,1,1,2
"27-C5","9","C5","control.big","untreated forager",0,1,1,2
"27-C6","9","C6","control.big","untreated forager",0,1,1,2
"27-C7","9","C7","control.big","untreated forager",0,1,1,2
"27-C9","9","C9","control.big","treated nurse",1,1,0,2
"27-D2","9","D2","control.big","untreated forager",0,1,1,2
"27-D3","9","D3","control.big","untreated forager",0,1,1,2
"27-D4","9","D4","control.big","untreated forager",0,1,1,2
"27-D6","9","D6","control.big","untreated nurse",1,1,0,2
"27-D8","9","D8","control.big","untreated nurse",0,1,1,2
"27-E1","9","E1","control.big","untreated forager",1,1,0,2
"27-E11","9","E11","control.big","untreated forager",1,1,0,2
"27-E3","9","E3","control.big","untreated forager",1,1,0,2
"27-E5","9","E5","control.big","untreated forager",1,1,0,2
"27-F11","9","F11","control.big","untreated nurse",0,1,1,2
"27-F12","9","F12","control.big","untreated nurse",0,1,1,2
"27-F7","9","F7","control.big","untreated nurse",0,1,1,2
"27-F8","9","F8","control.big","untreated forager",0,1,1,2
"27-G1","9","G1","control.big","untreated forager",0,1,1,2
"27-G12","9","G12","control.big","untreated forager",0,1,1,2
"27-G2","9","G2","control.big","untreated forager",0,1,1,2
"27-G3","9","G3","control.big","untreated forager",0,1,1,2
"27-G4","9","G4","control.big","untreated forager",1,1,0,2
"27-G5","9","G5","control.big","untreated forager",0,1,1,2
"27-G6","9","G6","control.big","treated nurse",1,1,0,2
"27-G7","9","G7","control.big","untreated forager",0,1,1,2
"27-H10","9","H10","control.big","untreated nurse",0,1,1,2
"27-H11","9","H11","control.big","untreated nurse",0,1,1,2
"27-H2","9","H2","control.big","untreated forager",1,1,1,3
"27-H4","9","H4","control.big","untreated forager",0,1,1,2
"27-H6","9","H6","control.big","untreated forager",1,1,0,2
"27-H9","9","H9","control.big","untreated nurse",1,1,1,3
"28-A2","10","A9","control.big","untreated nurse",1,1,0,2
"28-A3","10","A10","control.big","untreated forager",1,1,1,3
"28-A4","10","A11","control.big","untreated nurse",1,1,0,2
"28-B1","10","B8","control.big","untreated forager",1,1,0,2
"28-B3","10","B10","control.big","untreated forager",0,1,1,2
"28-C2","10","C9","control.big","untreated forager",0,1,1,2
"28-D1","10","D8","control.big","untreated nurse",1,1,0,2
"28-D3","10","D10","control.big","untreated nurse",1,1,1,3
"28-E3","10","E10","control.big","untreated nurse",1,1,1,3
"28-F1","10","F8","control.big","untreated nurse",1,1,1,3
"28-F3","10","F10","control.big","untreated forager",1,1,0,2
"28-G3","10","G10","control.big","untreated forager",1,1,0,2
"28-H2","10","H9","control.big","untreated nurse",1,1,1,3
"33-B1","11","B9","control.small","untreated nurse",1,1,0,2
"33-B2","11","B10","control.small","untreated forager",0,1,1,2
"33-B3","11","B11","control.small","untreated nurse",1,1,0,2
"33-B4","11","B12","control.small","untreated nurse",1,1,1,3
"33-C3","11","C11","control.small","untreated forager",0,1,1,2
"33-E1","11","E9","control.small","untreated forager",0,1,1,2
"33-E2","11","E10","control.small","untreated forager",1,1,1,3
"33-F4","11","F12","control.small","untreated forager",0,1,1,2
"33-G3","11","G11","control.small","untreated nurse",1,1,0,2
"33-G4","11","G12","control.small","untreated nurse",0,1,1,2
"33-H1","11","H9","control.small","untreated nurse",0,1,1,2
